id,title,code,description,lecture_units,laboratory_units,is_credit,created_at,updated_at
1382,Tech English I (Technical Report Writing and Presentation,CDIN5,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1383,Technical English II (Legal Forms),CDIN8,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1384,Technical Writing,BSEE39,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1385,Technical Writing in the Professions,ENLS111,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1386,Technology Application II ( Teaching P.E and Health including Instructional  Materials,BPED150,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1387,Technology for Teaching and Learning I,EDUC85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1388,Technology for Teaching and Learning II,BEED39,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1389,Technology for Teaching and Learning II (Instrumentation and Technology in Mathematics),BSEM39,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1390,Technology for Teaching and Learning II (Science),BSES38,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1391,Technology for Teaching and Learning II (Technology in Secondary Language Education),BSEE41,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1392,Technology for Teaching and Learning II- Utilization of Instructional Technology in Early Childhood Education,ECED32,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1393,Technology Research I,RESE21,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1394,Technology Research II,RESE22,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1395,Technopreneurship,ENSC33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1396,Technopreneurship I0I,ENGS35,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1397,Terrestrial Ecology,BECL75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1398,Terrorism and Insurgency in Asian Politics,ISAS65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1399,Terrorism and Insurgency in European Politics,ISES65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1400,The Child and Adolescent Learners and  Learning Principles,EDUC50,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1401,The Contemporary World,GNED07,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1402,The Filipino Personality and Social Work,SWRK70,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1403,"The Teacher and the Community, School Culture and Organizational Leadership",EDUC60,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1404,The Teacher and The School Curriculum,EDUC90,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1405,The Teaching of Science,BSES37,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1406,The Teaching Profession,BPED75,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1407,Theoretical Foundation in Nursing,NURS01,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1408,Theories of Crime Causation,CRIM2,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1409,Theories of Language and Language Acquisition,ENLS60,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1410,Theories of Personality,BPSY60,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1411,Theory of Architecture I,ARCH55,NULL,1,1,1,7/8/2024 16:27,7/8/2024 16:27
